Plot,Date,Species,Tag,StemTag,DBH.cm,Code,Notes,StemID,NaturalArea,ForestType,Genus,Sp,Family,DBH Class
CW-MM,18-May,ACERUB,3,1,26.6,L,,3_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,20,1,34.1,"A,X",POM at 1.45m,20_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,30,1,45,L,,30_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
CW-MM,19-May,ACERUB,45,1,33.1,N/A,,45_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,46,1,9.5,L,soft measure used,46_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
CW-MM,19-May,ACERUB,53,1,20.1,N/A,,53_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,19-May,ACERUB,54,1,7,N/A,,54_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
CW-MM,20-May,ACERUB,62,1,4,N/A,,62_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
CW-MM,20-May,ACERUB,75,1,17,N/A,,75_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
CW-MM,20-May,ACERUB,78,1,14.6,"L,I",oddly shaped,78_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
CW-MM,20-May,ACERUB,84,1,2.2,N/A,,84_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
CW-MM,22-May,ACERUB,96,1,24.2,I,,96_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,22-May,ACERUB,114,1,43.4,N/A,,114_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,40 to 50
CW-MM,22-May,ACERUB,156,1,30.7,N/A,,156_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,22-May,ACERUB,162,1,37.4,N/A,,162_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,22-May,ACERUB,167,1,10,I,small knot at POM,167_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,5.1 to 10
CW-MM,22-May,ACERUB,197,1,27.8,I,knots along trunk,197_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,28-May,ACERUB,211,1,2.5,"W,L",soft measure used ,211_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,0 to 5
CW-MM,28-May,ACERUB,230,1,13.4,N/A,,230_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,10 to 20
CW-MM,28-May,ACERUB,243,1,56.8,I,"large open wound on western side, wavy all around",243_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
CW-MM,28-May,ACERUB,248,1,32.8,L,,248_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,20 to 40
CW-MM,28-May,ACERUB,266,1,82,I,"stem splits above POM, swollen at POM, swollen above and below POM",266_1,Corning_Woods,Mixed_Mesophytic,Acer,rubrum,Sapindaceae,>50
